[INIT] First code: 73 = I
[READ] Code: 115 | next_code: 424 | code_size: 9
[READ] Code: 105 | next_code: 425 | code_size: 9
[READ] Code: 262 | next_code: 426 | code_size: 9
[READ] Code: 281 | next_code: 427 | code_size: 9
[READ] Code: 351 | next_code: 428 | code_size: 9
[READ] Code: 398 | next_code: 429 | code_size: 9
[READ] Code: 307 | next_code: 430 | code_size: 9
[READ] Code: 299 | next_code: 431 | code_size: 9
[READ] Code: 295 | next_code: 432 | code_size: 9
[READ] Code: 310 | next_code: 433 | code_size: 9
[READ] Code: 360 | next_code: 434 | code_size: 9
[READ] Code: 362 | next_code: 435 | code_size: 9
[READ] Code: 266 | next_code: 436 | code_size: 9
[READ] Code: 310 | next_code: 437 | code_size: 9
[READ] Code: 405 | next_code: 438 | code_size: 9
[READ] Code: 110 | next_code: 439 | code_size: 9
[READ] Code: 315 | next_code: 440 | code_size: 9
[READ] Code: 32 | next_code: 441 | code_size: 9
[READ] Code: 70 | next_code: 442 | code_size: 9
[READ] Code: 105 | next_code: 443 | code_size: 9
[READ] Code: 280 | next_code: 444 | code_size: 9
[READ] Code: 288 | next_code: 445 | code_size: 9
[READ] Code: 270 | next_code: 446 | code_size: 9
[READ] Code: 32 | next_code: 447 | code_size: 9
[READ] Code: 335 | next_code: 448 | code_size: 9
[READ] Code: 402 | next_code: 449 | code_size: 9
[READ] Code: 332 | next_code: 450 | code_size: 9
[READ] Code: 288 | next_code: 451 | code_size: 9
[READ] Code: 310 | next_code: 452 | code_size: 9
[READ] Code: 263 | next_code: 453 | code_size: 9
[READ] Code: 32 | next_code: 454 | code_size: 9
[READ] Code: 108 | next_code: 455 | code_size: 9
[READ] Code: 105 | next_code: 456 | code_size: 9
[READ] Code: 402 | next_code: 457 | code_size: 9
[READ] Code: 430 | next_code: 458 | code_size: 9
[READ] Code: 292 | next_code: 459 | code_size: 9
[READ] Code: 294 | next_code: 460 | code_size: 9
[READ] Code: 97 | next_code: 461 | code_size: 9
[READ] Code: 109 | next_code: 462 | code_size: 9
[READ] Code: 370 | next_code: 463 | code_size: 9
[READ] Code: 312 | next_code: 464 | code_size: 9
[READ] Code: 32 | next_code: 465 | code_size: 9
[READ] Code: 106 | next_code: 466 | code_size: 9
[READ] Code: 111 | next_code: 467 | code_size: 9
[READ] Code: 98 | next_code: 468 | code_size: 9
[READ] Code: 350 | next_code: 469 | code_size: 9
[READ] Code: 102 | next_code: 470 | code_size: 9
[READ] Code: 398 | next_code: 471 | code_size: 9
[READ] Code: 97 | next_code: 472 | code_size: 9
[READ] Code: 452 | next_code: 473 | code_size: 9
[READ] Code: 365 | next_code: 474 | code_size: 9
[READ] Code: 406 | next_code: 475 | code_size: 9
[READ] Code: 381 | next_code: 476 | code_size: 9
[READ] Code: 281 | next_code: 477 | code_size: 9
[READ] Code: 425 | next_code: 478 | code_size: 9
[READ] Code: 109 | next_code: 479 | code_size: 9
[READ] Code: 112 | next_code: 480 | code_size: 9
[READ] Code: 108 | next_code: 481 | code_size: 9
[READ] Code: 376 | next_code: 482 | code_size: 9
[READ] Code: 301 | next_code: 483 | code_size: 9
[READ] Code: 258 | next_code: 484 | code_size: 9
[READ] Code: 110 | next_code: 485 | code_size: 9
[READ] Code: 110 | next_code: 486 | code_size: 9
[READ] Code: 464 | next_code: 487 | code_size: 9
[READ] Code: 441 | next_code: 488 | code_size: 9
[READ] Code: 323 | next_code: 489 | code_size: 9
[READ] Code: 307 | next_code: 490 | code_size: 9
[READ] Code: 301 | next_code: 491 | code_size: 9
[READ] Code: 436 | next_code: 492 | code_size: 9
[READ] Code: 470 | next_code: 493 | code_size: 9
[READ] Code: 459 | next_code: 494 | code_size: 9
[READ] Code: 293 | next_code: 495 | code_size: 9
[READ] Code: 295 | next_code: 496 | code_size: 9
[READ] Code: 297 | next_code: 497 | code_size: 9
[READ] Code: 97 | next_code: 498 | code_size: 9
[READ] Code: 299 | next_code: 499 | code_size: 9
[READ] Code: 32 | next_code: 500 | code_size: 9
